c_q,P1,param,E[R_pi],E[R_pi^2],Sharpe,R2_paper,||beta_hat||^2
1.25,250,0.003,0.16914119660984966,2.676213633163337,0.10339249352302374,-2.4966436869192794,2.7187283903235544
1.5,300,0.003,0.25146754350900274,1.724162909307385,0.1915105882452932,-1.3454884245851215,2.070924781551344
2.0,400,0.003,0.055264594209435185,1.2648515701487504,0.04913910061299459,-1.296429944839572,1.40378301249671
3.0,600,0.003,0.03644471294503247,0.9435735201544353,0.03751860321213725,-0.9560727625204621,0.9839589028281073
5.0,1000,0.003,-0.007866730271637144,0.6525148806426884,-0.009738656540360139,-0.5832950462650834,0.6739456626245672
7.0,1400,0.003,0.013197253381634168,0.4649734388563475,0.0193539441099136,-0.4343339373584293,0.5027544359107248
10.0,2000,0.003,0.04322210389392749,0.3841301264145846,0.06973755522498319,-0.29415260771888874,0.40454075265117595
0.5,100,0.01,-0.04463479091008353,0.6813788381948607,-0.05407284048458784,-0.7958056191809944,0.6759957148384762
0.75,150,0.01,0.0683747937910548,0.9277938688394652,0.07098560374783738,-1.0371374049210662,1.1147825975233352
0.9,180,0.01,0.11466211396869185,0.9398578083208906,0.1182738863385379,-0.9513481475112086,1.2141828626801177
0.95,190,0.01,0.10633127303470276,1.11881016389281,0.10052702075630607,-1.1404643515761017,1.2578560228227726
0.98,196,0.01,0.08491399163576062,1.2540042767751185,0.0758280255667438,-1.2402973045382069,1.2865610921257062
1.02,204,0.01,0.09492043977877536,1.335376287651043,0.08214060770745508,-1.274626294539676,1.2965816965512575
1.05,210,0.01,0.09136816584612063,1.5331738487606452,0.07379028799932413,-1.4263249339725923,1.3629246793567866
1.1,220,0.01,0.13616177699649473,1.8647770542384885,0.09971069704539501,-1.5094346839303934,1.453204751065437
1.25,250,0.01,0.11992380014604746,1.548982127821646,0.09635675781150577,-1.3556245955919408,1.5211236599100697
1.5,300,0.01,0.13866893698747013,1.2801965993750202,0.12255777044223426,-1.015378535135814,1.35504230296889
2.0,400,0.01,0.018066144712493036,0.9644771487109683,0.01839583533579772,-1.023013110155955,1.0460989796849516
3.0,600,0.01,0.022817006568783514,0.8637320226274554,0.024550998332654034,-0.8400601607133884,0.8401590081402446
5.0,1000,0.01,-0.01760807545877591,0.6190888234281862,-0.022378728574402342,-0.561339666075578,0.6305253527170338
7.0,1400,0.01,0.007422786340727528,0.44520252023901885,0.011124696020174369,-0.4430964760081587,0.502839431008441
10.0,2000,0.01,0.046135618677104556,0.4088138768184956,0.0721561801701927,-0.29043187414548266,0.42090301870802393
0.5,100,0.03,-0.018209271554973427,0.334723246180653,-0.0314738329360012,-0.398984914267558,0.34102759279020317
0.75,150,0.03,0.014108608982430812,0.3494465796460857,0.023866778371509863,-0.45402586484109575,0.4455915244747657
0.9,180,0.03,0.04759932064538421,0.459781615003968,0.07019803471237339,-0.46321409697993027,0.5206553334584824
0.95,190,0.03,0.044080045331904245,0.4559810647792808,0.06527826880110224,-0.47788730163696597,0.50815204311155
0.98,196,0.03,0.04548644455162125,0.46963125129924477,0.06637484149831312,-0.48790835907750013,0.5159450661320006
1.02,204,0.03,0.04501637895225639,0.49459864525368097,0.06400945019463479,-0.501533753446304,0.5168424602301338
1.05,210,0.03,0.03659182636325365,0.5344975303228814,0.050050824371819375,-0.5411295733634155,0.5253749956355663
1.1,220,0.03,0.039897174415663116,0.57223764813281,0.05274167591259076,-0.5450554459411306,0.5331791366801591
1.25,250,0.03,0.04313487917820241,0.48481237473456573,0.061950060896211766,-0.48762795334449927,0.5177187199412254
1.5,300,0.03,0.06609392502163353,0.45573051457385444,0.09790559002536536,-0.38180065496492693,0.5297512462542873
2.0,400,0.03,-0.033048690274135366,0.5680766403271875,-0.043848100795895,-0.6315100500640045,0.5271000777472401
3.0,600,0.03,-0.0013017663827827697,0.5254421022654477,-0.0017958523100421253,-0.5508241410659944,0.5073875370017051
5.0,1000,0.03,-0.01305112843895328,0.42856564239207884,-0.019936062571724825,-0.39630433149359423,0.43127919526484143
7.0,1400,0.03,0.010196290483589365,0.33981148252700494,0.017491343741557246,-0.3177158899176782,0.3759389120809215
10.0,2000,0.03,0.037025084900655675,0.29338514202090993,0.0683560572860013,-0.2049592137744101,0.31647093806137505
0.5,100,0.1,-0.007040454407775941,0.03040505662679073,-0.04037641747406595,-0.05087749562412677,0.03730458968758614
0.75,150,0.1,-0.013194031509927049,0.025642580718866378,-0.08239420188492895,-0.06344803206458244,0.039187283465145516
0.9,180,0.1,-0.006937370586627173,0.025635785214413422,-0.04332829329933928,-0.05033767636524768,0.04047975355711487
0.95,190,0.1,-0.004248274048041723,0.04067928304885443,-0.021063274104479023,-0.057333122144831807,0.05231648033336097
0.98,196,0.1,-0.004248278131552669,0.0406792684007524,-0.021063298143160526,-0.05733311517155155,0.05231646776663311
1.02,204,0.1,-0.0040827179412627835,0.04357432930729557,-0.019558431424956814,-0.057335305104196564,0.05412334975755486
1.05,210,0.1,-0.0031813528723105442,0.04463191280367188,-0.015058755892849421,-0.05824328068298039,0.05725028342105036
1.1,220,0.1,-0.0037278440544066703,0.04461678282315848,-0.01764853297173599,-0.059192458202207934,0.057229953712717926
1.25,250,0.1,0.0019688617420370656,0.04674475409881071,0.009106443141483386,-0.04840432975179491,0.056456585061404135
1.5,300,0.1,0.004969445230343395,0.057466110439910324,0.020730129107895037,-0.04279737306408384,0.05522676071528247
2.0,400,0.1,-0.018216210735788278,0.08826760962724357,-0.061313676620622266,-0.12795776153804883,0.08802247067558025
3.0,600,0.1,-0.029955517870060355,0.08126999847661683,-0.10507797778824514,-0.14341760353109848,0.0871620089977035
5.0,1000,0.1,-0.012054858568791866,0.09179936703871544,-0.03978709914239099,-0.11742754807377084,0.10447024044192474
7.0,1400,0.1,-0.0008235920383779205,0.08228192490380583,-0.002871176681291459,-0.08583737387305627,0.09708888504611214
10.0,2000,0.1,-0.003363628972193622,0.0728230852447079,-0.012464462270631835,-0.086026865793245,0.09433367011270183
0.5,100,0.3,0.0,0.0,,0.0,0.0
0.75,150,0.3,0.0,0.0,,0.0,0.0
0.9,180,0.3,0.0,0.0,,0.0,0.0
0.95,190,0.3,0.0,0.0,,0.0,0.0
0.98,196,0.3,0.0,0.0,,0.0,0.0
1.02,204,0.3,0.0,0.0,,0.0,0.0
1.05,210,0.3,0.0,0.0,,0.0,0.0
1.1,220,0.3,0.0,0.0,,0.0,0.0
1.25,250,0.3,0.0,0.0,,0.0,0.0
1.5,300,0.3,0.0,0.0,,0.0,0.0
2.0,400,0.3,0.0,0.0,,0.0,0.0
3.0,600,0.3,0.0,0.0,,0.0,0.0
5.0,1000,0.3,0.0,0.0,,0.0,0.0
7.0,1400,0.3,0.0,0.0,,0.0,0.0
10.0,2000,0.3,0.0,0.0,,0.0,0.0
0.5,100,1.0,0.0,0.0,,0.0,0.0
0.75,150,1.0,0.0,0.0,,0.0,0.0
0.9,180,1.0,0.0,0.0,,0.0,0.0
0.95,190,1.0,0.0,0.0,,0.0,0.0
0.98,196,1.0,0.0,0.0,,0.0,0.0
1.02,204,1.0,0.0,0.0,,0.0,0.0
1.05,210,1.0,0.0,0.0,,0.0,0.0
1.1,220,1.0,0.0,0.0,,0.0,0.0
1.25,250,1.0,0.0,0.0,,0.0,0.0
1.5,300,1.0,0.0,0.0,,0.0,0.0
2.0,400,1.0,0.0,0.0,,0.0,0.0
3.0,600,1.0,0.0,0.0,,0.0,0.0
5.0,1000,1.0,0.0,0.0,,0.0,0.0
7.0,1400,1.0,0.0,0.0,,0.0,0.0
10.0,2000,1.0,0.0,0.0,,0.0,0.0
