pair,family,param,mean_SR,SR_std,stability,mean_E,mean_R2,prior_lasso,prior_ridge
A,lasso,0.01,0.06072562374686382,0.13586751421564397,0.31058675694809684,0.07774162934471411,-0.8180799736006843,0.6104055352570406,0.38959446474295945
B,lasso,0.0,0.16333904196630683,0.1270724221157073,1.0,0.04940164070654378,-0.018096488640607186,0.596652662009273,0.403347337990727
C,lasso,0.0,0.15109556200953506,0.05906572805413082,1.0,0.05858899409844366,-0.04383125288502022,0.5999553684943284,0.4000446315056716
