family,param,mean_SR,mean_E,mean_R2,SR_std,stability
ridge,0.0,0.15109556200953506,0.05858899409844366,-0.04383125288502022,0.05906572805413082,0.6629355157981024
ridge,0.1,0.15109226295928657,0.058581507172840684,-0.04381558525263218,0.0590600267228849,0.6629410960722404
ridge,0.25,0.15108731680462642,0.05857028306049144,-0.043792097812987825,0.059051478544150555,0.6629494631127562
ridge,0.5,0.15107907966651585,0.05855159291941835,-0.04375298937409712,0.05903724175731485,0.6629633992021073
ridge,1.0,0.15106262956011132,0.058514275151146364,-0.04367491193204717,0.05900880630367858,0.6629912377813452
ridge,2.5,0.15101347201956725,0.05840281878343116,-0.04344178685304023,0.05892380398797339,0.6630744860886988
ridge,5.0,0.15093218153173935,0.05821869378140924,-0.04305688194011607,0.058783140851263536,0.6632123508076359
lasso,0.0,0.15109556200953506,0.05858899409844366,-0.04383125288502022,0.05906572805413082,1.0
lasso,0.001,0.1502365533112095,0.07620924404153184,-0.18401497294268462,0.02612217156044654,0.23105400153404634
lasso,0.005,0.14663664746664978,0.08932275449875952,-0.22810523965150759,0.017132153573173704,0.19243840026451645
lasso,0.01,0.13676330970685016,0.0862881738394614,-0.238020118237538,0.03649797933560516,0.18490018164088817
lasso,0.05,0.09160101557551907,0.04879064904578102,-0.1516575572093292,0.03282090443786947,0.16668474981528644
lasso,0.1,0.04030730809643075,0.02220545576285727,-0.08687645198184749,0.08494996156576619,0.1617307442000955
lasso,0.2,-0.0012210924569628842,0.010245960496874495,-0.012564015952235129,0.11957995562169216,0.09613095238095237
