family,param,fold,E[R_pi],SR,R2
ridge,0.0,1,0.085851014908328,0.2904114640820141,0.06972822955383567
ridge,0.0,2,0.012952266504759558,0.03626661985059954,-0.10592120683505005
ridge,0.1,1,0.08584767672909285,0.29041236633385636,0.06972799057702996
ridge,0.1,2,0.01295187674815208,0.036268465314146146,-0.10589986713371169
ridge,0.25,1,0.08584266994522553,0.2904137195026195,0.06972763169658545
ridge,0.25,2,0.012951292141240517,0.03627123275093877,-0.1058678712570949
ridge,0.5,1,0.08583432659695064,0.29041597422452864,0.06972703245363927
ridge,0.5,2,0.012950317868089178,0.03627584311571817,-0.10581458123817544
ridge,1.0,1,0.0858176447424132,0.2904204815717993,0.06972582981364987
ridge,1.0,2,0.012948369592301796,0.036285056244318485,-0.10570813764799092
ridge,2.5,1,0.08576763788321547,0.29043398686839933,0.06972218873396624
ridge,2.5,2,0.012942526937457233,0.0363126349764827,-0.10538989430908544
ridge,5.0,1,0.08568442191360111,0.29045644003365373,0.06971601020884505
ridge,5.0,2,0.012932796464845808,0.03635839834328713,-0.10486308608779579
lasso,0.0,1,0.085851014908328,0.2904114640820141,0.06972822955383567
lasso,0.0,2,0.012952266504759558,0.03626661985059954,-0.10592120683505005
lasso,0.001,1,0.06757042767475742,0.16442200588637798,0.006002453978988597
lasso,0.001,2,-0.08716076493781472,-0.15237427904731235,-0.4953393086594633
lasso,0.005,1,0.07953422322231872,0.16363501220614166,-0.031454304607503245
lasso,0.005,2,-0.12021993118721355,-0.17950590117135531,-0.6869754835133131
lasso,0.01,1,0.09574693888741696,0.19241867972698212,-0.030481968546487236
lasso,0.01,2,-0.13115547143537717,-0.1917106376113729,-0.7368378199054088
lasso,0.05,1,0.1391287988875156,0.2615027430220706,-0.017806579633063854
lasso,0.05,2,-0.07381561940001735,-0.12895234016118892,-0.47966384067213114
lasso,0.1,1,0.1158564016080597,0.24848734640938935,0.005647567048734051
lasso,0.1,2,-0.06262727496208476,-0.14246655367456962,-0.2988852482262114
lasso,0.2,1,0.023258381810369055,0.07103385822554695,-0.03448360597580532
lasso,0.2,2,-0.040937515266574034,-0.19677669113989069,-0.11530618842961847
