family,param,mean_SR,mean_E,mean_R2,SR_std,stability
ridge,5.0,0.015665618051975576,0.10315775126544724,-1.5834497325143566,0.1440834652695687,0.5316358712534689
ridge,2.5,0.010993688865399545,0.10083089486390108,-1.8158028689889063,0.13991824680608148,0.5202699295513827
ridge,1.0,0.007379526811004768,0.09793540720332339,-2.012076828962817,0.13664139220252616,0.5117113654977191
ridge,0.5,0.005984879027586418,0.09657613400915763,-2.0923223349009756,0.13537732342812225,0.5084549985617195
ridge,0.25,0.0052446086895792735,0.0958014931239374,-2.1360401954310753,0.1347080385792731,0.5067358003611877
ridge,0.1,0.004785561998384702,0.0953028336827586,-2.1635596247373474,0.1342938259329679,0.5056727489976455
ridge,0.0,0.004473041015551522,0.09495537910600599,-2.182479249437404,0.1340122427060805,0.5049502996648761
lasso,0.01,0.06072562374686382,0.07774162934471411,-0.8180799736006843,0.13586751421564397,0.31058675694809684
lasso,0.005,0.054010620941726706,0.10304970917403318,-1.2257527776416752,0.13249438254615636,0.32897086908162576
lasso,0.001,0.037526630304684165,0.1346239356689204,-1.8815381960341266,0.14987879448337574,0.40235426065608254
lasso,0.05,0.03529438385122346,-0.0033547300645240807,-0.23519641334802435,0.17239968618259915,0.2561786481428745
lasso,0.2,0.01199764627612545,0.0004212999088792742,-0.005848424876342439,0.005050339053447629,0.0
lasso,0.1,0.010330688433961777,-0.011498432956872199,-0.09565523876158302,0.11065590202527369,0.18294027925513692
lasso,0.0,0.004473041015551522,0.09495537910600599,-2.182479249437404,0.1340122427060805,1.0
